requested_name,official_name,tier,limen_category,allowed_roles,recommended_addition,google_category,license,designer,latin_ext,spanish_verified,spanish_missing,studio_enabled_initial,variable,axes,source_path
Satisfy,Satisfy,tematica,caligrafica-romantica,protagonista|acento,False,HANDWRITING,APACHE2,Sideshow,False,True,,False,False,,apache/satisfy
Style Script,Style Script,tematica,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,Robert Leuschke,True,True,,False,False,,ofl/stylescript
Cinzel Decorative,Cinzel Decorative,tematica,editorial-elegante,protagonista|titulo|narrativa,True,DISPLAY,OFL,Natanael Gama,False,True,,False,False,,ofl/cinzeldecorative
Bangers,Bangers,tematica,fiesta-juvenil,protagonista|titulo,False,DISPLAY,OFL,Vernon Adams,True,True,,False,False,,ofl/bangers
Boogaloo,Boogaloo,tematica,fiesta-juvenil,protagonista|titulo,False,DISPLAY,OFL,John Vargas Beltrán,False,True,,False,False,,ofl/boogaloo
Bubblegum Sans,Bubblegum Sans,tematica,fiesta-juvenil,protagonista|titulo,False,DISPLAY,OFL,Sudtipos,True,True,,False,False,,ofl/bubblegumsans
Chicle,Chicle,tematica,fiesta-juvenil,protagonista|titulo,False,DISPLAY,OFL,Sudtipos,True,True,,False,False,,ofl/chicle
DynaPuff,DynaPuff,tematica,fiesta-juvenil,protagonista|titulo,False,DISPLAY,OFL,"Toshi Omagari, Jennifer Daniel",True,True,,False,True,wdth|wght,ofl/dynapuff
Finger Paint,Finger Paint,tematica,fiesta-juvenil,protagonista|titulo,False,DISPLAY,OFL,Carrois Apostrophe,False,True,,False,False,,ofl/fingerpaint
Playpen Sans,Playpen Sans,tematica,fiesta-juvenil,protagonista|titulo,False,HANDWRITING,OFL,"TypeTogether, Laura Meseguer, Veronika Burian, José Scaglione, Kostas Bartsokas, Vera Evstafieva, Tom Grace, Yorlmar Campos",True,True,,False,True,wght,ofl/playpensans
Sour Gummy,Sour Gummy,tematica,fiesta-juvenil,protagonista|titulo,False,SANS_SERIF,OFL,Stefie Justprince,True,True,,False,True,wdth|wght,ofl/sourgummy
Courgette,Courgette,tematica,garden-artesanal,protagonista|titulo|acento,False,HANDWRITING,OFL,Karolina Lach,True,True,,False,False,,ofl/courgette
Kaushan Script,Kaushan Script,tematica,garden-artesanal,protagonista|titulo|acento,False,HANDWRITING,OFL,Impallari Type,True,True,,False,False,,ofl/kaushanscript
Macondo,Macondo,tematica,garden-artesanal,protagonista|titulo|acento,False,DISPLAY,OFL,John Vargas Beltrán,True,True,,False,False,,ofl/macondo
Macondo Swash Caps,Macondo Swash Caps,tematica,garden-artesanal,protagonista|titulo|acento,False,DISPLAY,OFL,John Vargas Beltrán,True,True,,False,False,,ofl/macondoswashcaps
Marck Script,Marck Script,tematica,garden-artesanal,protagonista|titulo|acento,False,HANDWRITING,OFL,Denis Masharov,True,True,,False,False,,ofl/marckscript
Amatic SC,Amatic SC,tematica,manuscrita-natural,protagonista|titulo|acento,False,HANDWRITING,OFL,"Vernon Adams, Ben Nathan, Thomas Jockin",True,True,,False,False,,ofl/amaticsc
